polla_aid	polla_qid	polla_answers	polla_votes
13	5	igen	6666
14	5	nem	39
15	6	Igen	6064
16	6	Nem	342
17	7	Igen	6117
18	7	Nem	192
38	13	igen	1
39	13	nem	5
41	14	1	0
42	14	2	0
43	14	3	0
44	14	4	2
45	14	5	4
46	15	igen	6
47	15	nem	0
49	16	1	0
50	16	2	0
51	16	3	1
52	16	4	1
53	16	5	4
54	17	igen	6
55	17	nem	0
57	18	1	0
58	18	2	0
59	18	3	0
60	18	4	2
61	18	5	4
62	19	igen	5
63	19	nem	1
65	20	1	0
66	20	2	1
67	20	3	1
68	20	4	1
69	20	5	3
70	21	1	1
71	21	2	1
72	21	3	1
73	21	4	0
74	21	5	3
75	22	igen	4
76	22	nem	2
78	23	igen	6
79	23	nem	0
81	24	1	0
82	24	2	0
83	24	3	0
84	24	4	1
85	24	5	5
86	25	igen	6
87	25	nem	0
89	26	1	1
90	26	2	1
91	26	3	1
92	26	4	1
93	26	5	2
94	27	igen	0
95	27	nem	0
97	28	1	0
98	28	2	0
99	28	3	0
100	28	4	0
101	28	5	0
102	29	igen	0
103	29	nem	0
105	30	1	0
106	30	2	0
107	30	3	0
108	30	4	0
109	30	5	0
110	31	igen	0
111	31	nem	0
113	32	1	0
114	32	2	0
115	32	3	0
116	32	4	0
117	32	5	0
118	33	igen	0
119	33	nem	0
121	34	1	0
122	34	2	0
123	34	3	0
124	34	4	0
125	34	5	0
126	35	igen	16
127	35	nem	1
128	36	1	1
129	36	2	1
130	36	3	1
131	36	4	5
132	36	5	8
133	37	igen	16
134	37	nem	0
135	38	1	0
136	38	2	0
137	38	3	0
138	38	4	1
139	38	5	15
140	39	igen	2
141	39	nem	14
142	40	1	0
143	40	2	1
144	40	3	2
145	40	4	6
146	40	5	7
147	41	igen	16
148	41	nem	0
149	42	1	0
150	42	2	0
151	42	3	0
152	42	4	3
153	42	5	13
154	43	igen	16
155	43	nem	0
156	44	1	0
157	44	2	0
158	44	3	0
159	44	4	2
160	44	5	14
161	45	igen	15
162	45	nem	1
163	46	1	0
164	46	2	1
165	46	3	2
166	46	4	3
167	46	5	10
168	47	igen	15
169	47	nem	1
173	48	1	1
174	48	2	1
175	48	3	4
176	48	4	5
177	48	5	5
178	49	igen	2659
179	49	nem	17
180	50	igen	2530
181	50	nem	79
182	51	igen	86
183	51	nem	2531
184	52	igen	2439
185	52	nem	169
186	53	igen	2540
187	53	nem	61
188	54	igen	2489
189	54	nem	94
190	55	igen	2499
191	55	nem	103
192	56	1	23
193	56	2	47
194	56	3	322
195	56	4	672
196	56	5	1571
197	57	1	32
198	57	2	32
199	57	3	155
200	57	4	355
201	57	5	2019
202	58	1	22
203	58	2	39
204	58	3	175
205	58	4	536
206	58	5	1828
207	59	1	35
208	59	2	155
209	59	3	686
210	59	4	803
211	59	5	919
212	60	1	24
213	60	2	25
214	60	3	175
215	60	4	511
216	60	5	1860
217	61	1	30
218	61	2	84
219	61	3	311
220	61	4	690
221	61	5	1461
222	62	1	30
223	62	2	113
224	62	3	506
225	62	4	876
226	62	5	1062
227	63	igen	1515
228	63	nem	42
229	64	igen	1511
230	64	nem	32
231	65	igen	136
232	65	nem	1385
233	66	igen	1521
234	66	nem	17
235	67	igen	1521
236	67	nem	14
237	68	igen	1521
238	68	nem	8
239	69	igen	1437
240	69	nem	82
241	70	1	37
242	70	2	98
243	70	3	293
244	70	4	389
245	70	5	721
246	71	1	15
247	71	2	46
248	71	3	198
249	71	4	377
250	71	5	901
251	72	1	9
252	72	2	28
253	72	3	208
254	72	4	354
255	72	5	921
256	73	1	4
257	73	2	9
258	73	3	40
259	73	4	144
260	73	5	1334
261	74	1	5
262	74	2	7
263	74	3	18
264	74	4	148
265	74	5	1350
266	75	1	8
267	75	2	19
268	75	3	54
269	75	4	164
270	75	5	1277
271	76	1	11
272	76	2	49
273	76	3	236
274	76	4	511
275	76	5	708
276	77	igen	1029
277	77	nem	92
278	78	igen	859
279	78	nem	244
280	79	igen	1091
281	79	nem	19
282	80	igen	1097
283	80	nem	12
284	81	igen	1051
285	81	nem	43
286	82	igen	1073
287	82	nem	25
288	83	igen	1000
289	83	nem	88
290	84	1	36
291	84	2	60
292	84	3	223
293	84	4	246
294	84	5	542
295	85	1	23
296	85	2	80
297	85	3	211
298	85	4	267
299	85	5	517
300	86	1	8
301	86	2	8
302	86	3	97
303	86	4	235
304	86	5	756
305	87	1	6
306	87	2	19
307	87	3	62
308	87	4	211
309	87	5	800
310	88	1	34
311	88	2	99
312	88	3	269
313	88	4	317
314	88	5	375
315	89	1	14
316	89	2	31
317	89	3	157
318	89	4	319
319	89	5	572
320	90	1	14
321	90	2	54
322	90	3	203
323	90	4	350
324	90	5	460
325	91	igen	7
326	91	nem	17
327	92	igen	4
328	92	nem	20
329	93	igen	5
330	93	nem	19
331	94	igen	5
332	94	nem	19
333	95	igen	4
334	95	nem	18
335	96	igen	4
336	96	nem	18
337	97	igen	1
338	97	nem	20
339	98	1	7
340	98	2	1
341	98	3	7
342	98	4	1
343	98	5	8
344	99	1	3
345	99	2	0
346	99	3	1
347	99	4	2
348	99	5	18
349	100	1	6
350	100	2	5
351	100	3	3
352	100	4	1
353	100	5	8
354	101	1	4
355	101	2	1
356	101	3	3
357	101	4	2
358	101	5	13
359	102	1	3
360	102	2	0
361	102	3	1
362	102	4	4
363	102	5	12
364	103	1	8
365	103	2	1
366	103	3	2
367	103	4	3
368	103	5	6
369	104	1	4
370	104	2	0
371	104	3	4
372	104	4	2
373	104	5	11
379	106	igen	11
380	106	nem	605
381	107	igen	583
382	107	nem	31
383	108	igen	599
384	108	nem	16
385	109	igen	602
386	109	nem	11
387	110	igen	597
388	110	nem	14
389	111	igen	493
390	111	nem	114
391	112	igen	595
392	112	nem	18
393	113	1	6
394	113	2	41
395	113	3	132
396	113	4	216
397	113	5	220
398	114	1	3
399	114	2	20
400	114	3	97
401	114	4	175
402	114	5	314
403	115	1	5
404	115	2	7
405	115	3	48
406	115	4	170
407	115	5	381
408	116	1	2
409	116	2	13
410	116	3	81
411	116	4	208
412	116	5	305
413	117	1	2
414	117	2	3
415	117	3	39
416	117	4	101
417	117	5	465
418	118	1	22
419	118	2	55
420	118	3	147
421	118	4	161
422	118	5	219
423	119	1	9
424	119	2	16
425	119	3	140
426	119	4	211
427	119	5	233
428	120	igen	308
429	120	nem	168
430	121	igen	352
431	121	nem	120
432	122	igen	45
433	122	nem	423
434	123	igen	204
435	123	nem	255
436	124	igen	438
437	124	nem	29
438	125	igen	65
439	125	nem	387
440	126	igen	464
441	126	nem	0
442	127	1	32
443	127	2	62
444	127	3	166
445	127	4	100
446	127	5	108
447	128	1	21
448	128	2	43
449	128	3	142
450	128	4	131
451	128	5	133
452	129	1	16
453	129	2	31
454	129	3	104
455	129	4	145
456	129	5	168
457	130	1	3
458	130	2	12
459	130	3	79
460	130	4	149
461	130	5	215
462	131	1	3
463	131	2	5
464	131	3	65
465	131	4	121
466	131	5	271
467	132	1	7
468	132	2	16
469	132	3	101
470	132	4	129
471	132	5	197
472	133	1	1
473	133	2	4
474	133	3	29
475	133	4	104
476	133	5	323
477	134	igen	343
478	134	nem	6
479	135	igen	350
480	135	nem	1
481	136	igen	327
482	136	nem	18
483	137	igen	349
484	137	nem	1
485	138	igen	350
486	138	nem	0
487	139	igen	256
488	139	nem	86
489	140	igen	314
490	140	nem	33
491	141	1	5
492	141	2	3
493	141	3	19
494	141	4	40
495	141	5	281
496	142	1	2
497	142	2	1
498	142	3	5
499	142	4	19
500	142	5	322
501	143	1	3
502	143	2	6
503	143	3	31
504	143	4	83
505	143	5	221
506	144	1	0
507	144	2	4
508	144	3	16
509	144	4	46
510	144	5	282
511	145	1	1
512	145	2	2
513	145	3	10
514	145	4	50
515	145	5	286
516	146	1	42
517	146	2	50
518	146	3	110
519	146	4	75
520	146	5	66
521	147	1	8
522	147	2	45
523	147	3	131
524	147	4	95
525	147	5	67
526	148	Igen	208
527	148	Nem	1
528	149	igen	191
529	149	nem	14
530	150	igen	206
531	150	nem	0
532	151	igen	158
533	151	nem	42
534	152	igen	177
535	152	nem	28
536	153	igen	208
537	153	nem	0
538	154	igen	186
539	154	nem	18
540	155	1	1
541	155	2	0
542	155	3	2
543	155	4	5
544	155	5	200
545	156	1	0
546	156	2	4
547	156	3	18
548	156	4	41
549	156	5	142
550	157	1	0
551	157	2	0
552	157	3	7
553	157	4	39
554	157	5	161
555	158	1	23
556	158	2	38
557	158	3	72
558	158	4	41
559	158	5	26
560	159	1	16
561	159	2	27
562	159	3	71
563	159	4	48
564	159	5	45
565	160	1	0
566	160	2	1
567	160	3	14
568	160	4	40
569	160	5	153
570	161	1	1
571	161	2	5
572	161	3	36
573	161	4	67
574	161	5	97
